Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Pmaip1	Pmaip1	146.095277961982	-2.99443424865641	0.233834364787261	-12.8057920459241	1.52165238742511e-37	7.65434626657328e-35
Col17a1	Col17a1	24.3239285742954	-2.99921799849787	0.406192534502836	-7.38373491321989	1.5390973768876e-13	1.02641471278345e-11
Wnt8b	Wnt8b	49.1743535404622	-3.00717732876209	0.387421521406905	-7.76202963077955	8.35808712678771e-15	6.68874917973747e-13
Agpat9	Agpat9	83.833611851437	-3.04313194541809	0.268284091083209	-11.3429459537884	8.03918079481734e-30	2.48311959778165e-27
Greb1l	Greb1l	5199.54334874548	-3.05964782575212	0.171615411149899	-17.8285143813783	4.24553103590078e-71	1.24578032363448e-67
Kcnh5	Kcnh5	12.501175713122	-3.10101130482815	0.430414534826611	-7.20470860975309	5.81681059611292e-13	3.58079606136937e-11
Hoxc10	Hoxc10	1166.35562406534	-3.16322261018059	0.465046485753848	-6.80194928266784	1.03212938062144e-11	5.36037459446051e-10
Aldh1a3	Aldh1a3	58.8319548336343	-3.1809956426206	0.419454349705521	-7.58365158176052	3.35962614401741e-14	2.53860849320045e-12
Naaa	Naaa	1630.7662057137	-3.20777270924086	0.192089366669191	-16.6993767789612	1.32440895951394e-62	2.33175441412024e-59
Rhbg	Rhbg	13.5462549293909	-3.2236491978747	0.466215180872043	-6.91450928698835	4.69485654591159e-12	2.52005013254023e-10
Ppef2	Ppef2	213.238838142514	-3.22902022881878	0.286208391730624	-11.2820599329523	1.60932780385999e-29	4.8851422956481e-27
Serpina3a	Serpina3a	11.9113787705763	-3.23129027132986	0.435207575808463	-7.42471053112358	1.13026829032532e-13	7.89662838074109e-12
Hes7	Hes7	322.752459886772	-3.30396285695944	0.453689017822249	-7.28243957241632	3.27836802137453e-13	2.09887081397527e-11
Hoxc9	Hoxc9	629.345816372241	-3.31740927276602	0.276251678469979	-12.0086483859193	3.20032846198907e-33	1.19882942344212e-30
Pcdh19	Pcdh19	1350.87776023789	-3.32409416135845	0.222368366435192	-14.9485927996294	1.5907517657355e-50	1.7504234742212e-47
A830018L16Rik	A830018L16Rik	45.3856759020593	-3.44101857425146	0.333959794103219	-10.3036911478869	6.78084056644701e-25	1.51118327864387e-22
Ifitm1	Ifitm1	2591.40246773159	-3.45063521394903	0.239249665397698	-14.422737888528	3.72276640895955e-47	3.44963291558641e-44
Mir196a-1	Mir196a-1	64.4693830051147	-3.46123662119167	0.399372925410182	-8.66667818715241	4.4491019506846e-18	5.22205926291687e-16
Olfm4	Olfm4	18.135956856811	-3.49389071669548	0.391577997911003	-8.92259201317424	4.55500194002066e-19	5.8536762157667e-17
Peli3	Peli3	285.606416391317	-3.50417699617015	0.402202180815391	-8.71247636963599	2.97307300286947e-18	3.55416051790817e-16
S1pr5	S1pr5	26.9913654177883	-3.52229569664518	0.387111798160136	-9.09891073686189	9.12422963152298e-20	1.27493005470312e-17
Gm53	Gm53	211.833838046284	-3.55218768693199	0.435563447711987	-8.15538518117537	3.48068766053858e-16	3.25962696550225e-14
Spock2	Spock2	482.585275810095	-3.61440441471076	0.212899797747553	-16.9770213638087	1.21497885282392e-64	2.67386471035225e-61
