Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Bola2	Bola2	506.293358538297	0.486470733686728	0.123943836845337	3.92492879088267	8.67553974139927e-05	0.00386984030636715
Id1	Id1	1224.59160621412	0.485161260228475	0.106126817178407	4.57152370274972	4.84190507698822e-06	0.000388060977633738
Eif3k	Eif3k	4551.30135114972	0.484634876159992	0.0983889101137493	4.92570631791425	8.40561655593389e-07	0.000102299466677032
Rpl32	Rpl32	7660.53069982663	0.483659691307695	0.0936825096205707	5.16275335990245	2.43343678353266e-07	4.06590166306186e-05
Ccdc124	Ccdc124	838.333704063771	0.480936634677978	0.108096168926908	4.44915522402257	8.62086968323619e-06	0.000624886274539282
Naca	Naca	8974.66318522225	0.480826374006995	0.0828841077501478	5.80118899821465	6.58463313662403e-09	2.40412272077184e-06
Ppp1r11	Ppp1r11	1145.10991002428	0.478272373472368	0.102689786811354	4.65744830448403	3.20152780311844e-06	0.00028954734938662
Sumo2	Sumo2	3047.82612379641	0.476807440252777	0.0881002711045378	5.41209958011375	6.22900307475421e-08	1.33490244154189e-05
Anapc11	Anapc11	1176.68711799428	0.474922227398316	0.110212353374121	4.30915603250181	1.63878721934477e-05	0.00110884047504179
Snrpg	Snrpg	1354.73932938056	0.474461181533399	0.102316865539085	4.63717471243443	3.5320384746291e-06	0.000307517456643945
Mrpl13	Mrpl13	1914.28935532788	0.473031698567888	0.0959834047603182	4.92826546160874	8.2962846374458e-07	0.000102230967444926
Rps12	Rps12	3965.11605389177	0.471206907056121	0.108264276341342	4.35237663779762	1.34669650573987e-05	0.000948266725255974
Psmg3	Psmg3	431.158119643055	0.47028690920949	0.121352937225456	3.87536486517642	0.000106465051330545	0.00458018764632899
Rpl23a	Rpl23a	3386.64821077774	0.470102700486706	0.0930112971474296	5.05425378318893	4.32076760804301e-07	5.9991728281814e-05
Nedd8	Nedd8	993.841631675352	0.467803202983719	0.101288931422371	4.61850269732826	3.86518956792799e-06	0.000328474472074432
Ndufa12	Ndufa12	1318.20723339594	0.465798722524028	0.101389036043889	4.59417251311466	4.34469848260773e-06	0.000360185956806443
Rpl27a	Rpl27a	15429.4562965435	0.465218386210556	0.088336161625445	5.26645461666234	1.39083609595182e-07	2.68840435958688e-05
Erh	Erh	3278.46488641494	0.462881645831306	0.0831874262506793	5.56432223827247	2.63173243155194e-08	6.82726797637868e-06
Bmp7	Bmp7	455.938239446201	0.462315626396287	0.121207219269648	3.81425817028092	0.000136592617669334	0.00551856567616516
Spag7	Spag7	1309.4149212489	0.461787833115771	0.100934451474244	4.57512599881325	4.7593346726387e-06	0.000384569845925183
Emg1	Emg1	2142.93368734958	0.461605852778089	0.0835813741041472	5.52283158449754	3.33579453481805e-08	7.82958631529436e-06
Nol12	Nol12	380.800339137215	0.460720945790191	0.128108492027827	3.59633415784894	0.000322733175331551	0.0101971270590334
Eif3i	Eif3i	11310.5647151738	0.458530786631448	0.0900609524968065	5.09133840937011	3.55544805519416e-07	5.23368155481036e-05
1810009A15Rik	1810009A15Rik	1260.26240508709	0.458406592553412	0.0985302989036596	4.65244293028716	3.28025538836381e-06	0.000293970523804458
Eef1d	Eef1d	5337.6051525733	0.457946956095352	0.0885226808692507	5.17321607974962	2.30098655110963e-07	3.91088369324806e-05
Mrpl39	Mrpl39	1875.7433927443	0.457827674155106	0.0871297800047081	5.25454872180748	1.48387861350531e-07	2.80453293991486e-05
Exosc5	Exosc5	925.241381440452	0.457074576310582	0.118796201317144	3.84755212071432	0.000119303901390838	0.00502605923038838
Stmn1	Stmn1	2158.42161287094	0.456332800738396	0.0826070595584771	5.52413804797592	3.31107056813733e-08	7.82958631529436e-06
Anapc13	Anapc13	474.854512779976	0.454449714956121	0.127035429840237	3.57734622166153	0.000347100296545323	0.010659547424747
Rpl28	Rpl28	1833.36333693627	0.453973778440094	0.097672732190625	4.64790702848454	3.35319976114035e-06	0.000297800389597491
Nudt9	Nudt9	668.919034924353	0.453424318296023	0.11116270273673	4.07892491935791	4.52444447838365e-05	0.00237884869903934
3110001D03Rik	3110001D03Rik	666.598677148414	0.452026624715242	0.109480434547374	4.12883476928146	3.64606290371422e-05	0.00198579492291795
Arl2	Arl2	463.133083417013	0.451212295804828	0.120858988068975	3.73337807153672	0.000188928673346787	0.00688018352533597
